"review_id","analysis_name","python_k","r_k","python_theta","r_theta","theta_diff","theta_pass","python_pi_lo","r_pi_lo","pi_lo_diff","pi_lo_pass","python_pi_hi","r_pi_hi","pi_hi_diff","pi_hi_pass","r_tau2","overall_pass","note"
"CD004925","Urine leak and obstruction",31,31,-1.0626,-1.06260276597549,2.76597549486723e-06,TRUE,-1.4199,-1.40503150569186,0.0148684943081416,FALSE,-0.7053,-0.720174026259131,0.0148740262591313,FALSE,0,FALSE,""
"CD012718","Caries arrest (at end of study follow-up)",5,4,0.4882,-0.663787528125477,1.15198752812548,FALSE,-0.3503,-2.51125317761232,2.16095317761232,FALSE,1.3267,1.18367812136137,0.143021878638631,FALSE,0.639844318393683,FALSE,"k_mismatch:4vs5"
"CD007130","Completers",26,26,0.0349,0.0348549062205828,4.50937794172213e-05,TRUE,-0.095,-0.0884728416958711,0.00652715830412885,TRUE,0.1647,0.158182654137037,0.00651734586296332,TRUE,0.0035389182044796,TRUE,""
"CD014763","Surgical site infection",9,9,-1.8007,-1.80074189563309,4.18956330867637e-05,TRUE,-2.4736,-2.35844087706685,0.115159122933149,FALSE,-1.1279,-1.24304291419932,0.115142914199323,FALSE,0,FALSE,""
"CD012503","Recurrence of ischemic stroke at the endpoint (for all studies)",17,17,-0.1657,-0.16561472003483,8.52799651698821e-05,TRUE,-0.3451,-0.330467233079355,0.0146327669206451,FALSE,0.0138,-0.000762206990305353,0.0145622069903054,FALSE,0.00155452054836435,FALSE,""
"CD011044","Response rates",26,26,0.5725,0.572497707696037,2.2923039627587e-06,TRUE,-0.0128,0.0166485025660432,0.0294485025660432,FALSE,1.1578,1.12834691282603,0.0294530871739687,FALSE,0.0716427989634782,FALSE,""
"CD016211","Maternal sepsis: subgroup analysis (polypharmacy vs monopharmacy)",5,NA,-0.4165,NA,NA,NA,-0.6797,NA,NA,NA,-0.1533,NA,NA,NA,NA,FALSE,"NO_RDA_FILE"
"CD011600","Pneumonia",5,5,0.4633,0.463343659656245,4.36596562450875e-05,TRUE,0.1787,0.288063289322351,0.109363289322351,FALSE,0.7479,0.63862402999014,0.10927597000986,FALSE,0,FALSE,""
"CD003218","Proportion of participants with at least 1 adverse event",5,5,0.5303,0.530312921946124,1.29219461235675e-05,TRUE,-0.7963,-0.286723779407852,0.509576220592148,FALSE,1.8569,1.3473496233001,0.509550376699901,FALSE,0,FALSE,""
"CD008349","Upper limb function post intervention (composite measure)",68,63,0.2695,0,0.2695,FALSE,-0.6845,-0.0785599766802905,0.605940023319709,FALSE,1.2235,0.0785599766802905,1.14494002331971,FALSE,0,FALSE,"k_mismatch:63vs68"
